rank,path,loc,weight,impact_score,cumulative_migrated_ts_lines,projected_rust_percent_after_lane
1,client/systems/autonomy/autonomy_controller.ts,17810,4.3,76583,17810,5.809
2,client/systems/autonomy/inversion_controller.ts,6229,4.3,26784.7,24039,7.434
3,client/systems/spine/spine.ts,6237,3.8,23700.6,30276,9.061
4,client/systems/routing/model_router.ts,4421,3.6,15915.6,34697,10.214
5,client/systems/workflow/workflow_executor.ts,4847,3.2,15510.4,39544,11.479
6,client/systems/autonomy/proposal_enricher.ts,2912,3,8736,42456,12.238
7,client/systems/personas/cli.ts,3926,2.1,8244.6,46382,13.263
8,client/systems/autonomy/health_status.ts,2570,2.8,7196,48952,13.933
9,client/systems/ops/autotest_doctor.ts,2729,2.2,6003.8,51681,14.645
10,client/systems/ops/foundation_contract_gate.ts,2369,2.4,5685.6,54050,15.263
11,client/systems/memory/idle_dream_cycle.ts,2290,2.3,5267,56340,15.86
12,client/systems/ops/autotest_controller.ts,2103,2.5,5257.5,58443,16.409
13,client/systems/personas/orchestration.ts,2325,2.1,4882.5,60768,17.015
14,client/systems/spine/contract_check.ts,1684,2.8,4715.2,62452,17.455
15,client/systems/execution/task_decomposition_primitive.ts,1735,2.7,4684.5,64187,17.907
16,client/systems/autonomy/strategy_mode_governor.ts,1403,3,4209,65590,18.273
17,client/systems/assimilation/assimilation_controller.ts,1801,2.3,4142.3,67391,18.743
18,client/systems/sensory/focus_controller.ts,1782,2.3,4098.6,69173,19.208
19,client/systems/autonomy/outcome_fitness_loop.ts,1262,3,3786,70435,19.537
20,client/systems/continuum/continuum_core.ts,1792,2.1,3763.2,72227,20.005
21,client/systems/weaver/weaver_core.ts,1735,2.1,3643.5,73962,20.457
22,client/systems/autonomy/improvement_controller.ts,1068,3.3,3524.4,75030,20.736
23,client/systems/ops/execution_yield_recovery.ts,1438,2.4,3451.2,76468,21.111
24,client/systems/autonomy/red_team_harness.ts,1227,2.8,3435.6,77695,21.431
25,client/systems/ops/state_kernel.ts,1390,2.4,3336,79085,21.794
26,client/systems/memory/rust_memory_transition_lane.ts,1422,2.3,3270.6,80507,22.165
27,client/systems/autonomy/mirror_organ.ts,1059,3,3177,81566,22.441
28,client/systems/autonomy/runtime_stability_soak.ts,1057,3,3171,82623,22.717
29,client/systems/ops/protheus_control_plane.ts,1256,2.4,3014.4,83879,23.044
30,client/systems/security/venom_containment_layer.ts,1198,2.5,2995,85077,23.357
31,client/systems/autonomy/autonomy_simulation_harness.ts,1068,2.8,2990.4,86145,23.635
32,client/systems/workflow/orchestron/candidate_generator.ts,1354,2.2,2978.8,87499,23.989
33,client/systems/autonomy/gated_self_improvement_loop.ts,975,3,2925,88474,24.243
34,client/systems/ops/rust50_migration_program.ts,1215,2.4,2916,89689,24.56
35,client/systems/workflow/orchestron/adaptive_controller.ts,1109,2.5,2772.5,90798,24.849
36,client/systems/autonomy/pain_signal.ts,914,3,2742,91712,25.088
37,client/systems/workflow/workflow_controller.ts,1061,2.5,2652.5,92773,25.364
38,client/systems/ops/dynamic_burn_budget_oracle.ts,1105,2.4,2652,93878,25.653
39,client/systems/workflow/universal_outreach_primitive.ts,1200,2.2,2640,95078,25.966
40,client/systems/ops/organ_atrophy_controller.ts,969,2.7,2616.3,96047,26.219
41,client/systems/autonomy/drift_target_governor.ts,859,3,2577,96906,26.443
42,client/systems/actuation/universal_execution_primitive.ts,1296,1.9,2462.4,98202,26.781
43,client/systems/routing/route_execute.ts,945,2.6,2457,99147,27.027
44,client/systems/ops/rust_enterprise_productivity_program.ts,1022,2.4,2452.8,100169,27.294
45,client/systems/security/directive_hierarchy_controller.ts,874,2.8,2447.2,101043,27.522
46,client/systems/ops/backlog_registry.ts,1016,2.4,2438.4,102059,27.787
47,client/systems/ops/backlog_github_sync.ts,999,2.4,2397.6,103058,28.047
48,client/systems/security/agent_passport.ts,950,2.5,2375,104008,28.295
49,client/systems/autonomy/adaptive_crystallizer.ts,791,3,2373,104799,28.502
50,client/systems/autonomy/model_catalog_loop.ts,783,3,2349,105582,28.706
51,client/systems/routing/llm_gateway.ts,893,2.6,2321.8,106475,28.939
52,client/systems/autonomy/self_improvement_cadence_orchestrator.ts,767,3,2301,107242,29.139
53,client/systems/autonomy/improvement_orchestrator.ts,766,3,2298,108008,29.339
54,client/systems/security/guard.ts,896,2.5,2240,108904,29.572
55,client/systems/autonomy/receipt_summary.ts,721,3,2163,109625,29.761
56,client/systems/ops/llm_economy_organ.ts,885,2.4,2124,110510,29.991
57,client/systems/security/remote_emergency_halt.ts,849,2.5,2122.5,111359,30.213
58,client/systems/autonomy/pain_adaptive_router.ts,702,3,2106,112061,30.396
59,client/systems/autonomy/hold_remediation_engine.ts,632,3.3,2085.6,112693,30.561
60,client/systems/autonomy/collective_shadow.ts,687,3,2061,113380,30.74
61,client/systems/autonomy/tier1_governance.ts,670,3,2010,114050,30.915
62,client/systems/workflow/learning_conduit.ts,913,2.2,2008.6,114963,31.153
63,client/systems/security/anti_sabotage_shield.ts,802,2.5,2005,115765,31.362
64,client/systems/security/alias_verification_vault.ts,792,2.5,1980,116557,31.569
65,client/systems/ops/offsite_backup.ts,820,2.4,1968,117377,31.783
66,client/systems/routing/route_task.ts,756,2.6,1965.6,118133,31.98
67,client/systems/workflow/data_rights_engine.ts,773,2.5,1932.5,118906,32.182
68,client/systems/autonomy/lever_experiment_gate.ts,642,3,1926,119548,32.349
69,client/systems/security/soul_token_guard.ts,763,2.5,1907.5,120311,32.548
70,client/systems/autonomy/autonomy_rollout_controller.ts,573,3.3,1890.9,120884,32.698
71,client/systems/autonomy/self_documentation_closeout.ts,621,3,1863,121505,32.86
72,client/systems/security/delegated_authority_branching.ts,740,2.5,1850,122245,33.053
73,client/systems/ops/settlement_program.ts,770,2.4,1848,123015,33.254
74,client/systems/routing/router_budget_calibration.ts,708,2.6,1840.8,123723,33.438
75,client/systems/sensory/cross_signal_engine.ts,789,2.3,1814.7,124512,33.644
76,client/systems/memory/creative_links.ts,788,2.3,1812.4,125300,33.85
77,client/systems/ops/narrow_agent_parity_harness.ts,813,2.2,1788.6,126113,34.062
78,client/systems/memory/cryonics_tier.ts,773,2.3,1777.9,126886,34.263
79,client/systems/strategy/strategy_controller.ts,1103,1.6,1764.8,127989,34.551
80,client/systems/security/secure_heartbeat_endpoint.ts,697,2.5,1742.5,128686,34.733
81,client/systems/autonomy/multi_agent_debate_orchestrator.ts,572,3,1716,129258,34.882
82,client/systems/autonomy/background_persistent_agent_runtime.ts,571,3,1713,129829,35.031
83,client/systems/tools/assimilate.ts,951,1.8,1711.8,130780,35.279
84,client/systems/routing/provider_readiness.ts,658,2.6,1710.8,131438,35.451
85,client/systems/autonomy/strategy_mode.ts,568,3,1704,132006,35.599
86,client/systems/tools/cli_suggestion_engine.ts,804,2.1,1688.4,132810,35.809
87,client/systems/autonomy/self_code_evolution_sandbox.ts,554,3,1662,133364,35.953
88,client/systems/security/organ_state_encryption_plane.ts,664,2.5,1660,134028,36.126
89,client/systems/autonomy/proactive_t1_initiative_engine.ts,503,3.3,1659.9,134531,36.258
90,client/systems/nursery/specialist_training.ts,1654,1,1654,136185,36.689
91,client/systems/actuation/disposable_infrastructure_organ.ts,861,1.9,1635.9,137046,36.914
92,client/systems/memory/memory_federation_plane.ts,707,2.3,1626.1,137753,37.098
93,client/systems/ops/productized_suite_program.ts,664,2.4,1593.6,138417,37.271
94,client/systems/autonomy/trit_shadow_report.ts,568,2.8,1590.4,138985,37.42
95,client/systems/security/dream_warden_guard.ts,628,2.5,1570,139613,37.583
96,client/systems/autonomy/ethical_reasoning_organ.ts,516,3,1548,140129,37.718
97,client/systems/ops/rust_hybrid_migration_program.ts,644,2.4,1545.6,140773,37.886
98,client/systems/security/skin_protection_layer.ts,618,2.5,1545,141391,38.047
99,client/systems/fractal/regime_organ.ts,905,1.7,1538.5,142296,38.283
100,client/systems/tools/research.ts,838,1.8,1508.4,143134,38.502
101,client/systems/memory/failure_memory_bridge.ts,652,2.3,1499.6,143786,38.672
102,client/systems/autonomy/objective_runtime_governor.ts,493,3,1479,144279,38.801
103,client/systems/autonomy/canary_scheduler.ts,491,3,1473,144770,38.929
104,client/systems/security/constitution_guardian.ts,589,2.5,1472.5,145359,39.082
105,client/systems/ops/rust_control_plane_cutover.ts,609,2.4,1461.6,145968,39.241
106,client/systems/assimilation/group_evolving_agents_primitive.ts,730,2,1460,146698,39.432
107,client/systems/memory/causal_temporal_graph.ts,633,2.3,1455.9,147331,39.597
108,client/lib/secret_broker.ts,1211,1.2,1453.2,148542,39.913
109,client/systems/security/remote_tamper_heartbeat.ts,581,2.5,1452.5,149123,40.064
110,client/systems/ops/backlog_implementation_review.ts,602,2.4,1444.8,149725,40.221
111,client/systems/autonomy/batch_lane.ts,480,3,1440,150205,40.346
112,client/systems/ops/cleanup_orchestrator.ts,598,2.4,1435.2,150803,40.502
113,client/systems/ops/top50_roi_sweep.ts,593,2.4,1423.2,151396,40.657
114,client/systems/security/supply_chain_trust_plane.ts,564,2.5,1410,151960,40.804
115,client/systems/memory/offdevice_memory_replication.ts,609,2.3,1400.7,152569,40.963
116,client/systems/spawn/spawn_broker.ts,996,1.4,1394.4,153565,41.223
117,client/systems/ops/workflow_execution_closure.ts,579,2.4,1389.6,154144,41.374
118,client/systems/security/secret_rotation_migration_auditor.ts,555,2.5,1387.5,154699,41.519
119,client/systems/ops/trace_habit_autogenesis.ts,573,2.4,1375.2,155272,41.668
120,client/systems/autonomy/skill_generation_pipeline.ts,454,3,1362,155726,41.787
121,client/systems/ops/compliance_reports.ts,616,2.2,1355.2,156342,41.947
122,client/systems/workflow/payment_skills_bridge.ts,615,2.2,1353,156957,42.108
123,client/systems/memory/memory_dream.ts,581,2.3,1336.3,157538,42.259
124,client/systems/ops/execution_reliability_slo.ts,547,2.4,1312.8,158085,42.402
125,client/systems/routing/provider_onboarding_manifest.ts,502,2.6,1305.2,158587,42.533
126,client/systems/security/capability_switchboard.ts,522,2.5,1305,159109,42.669
127,client/systems/fractal/organism_cycle.ts,750,1.7,1275,159859,42.865
128,client/systems/autonomy/zero_permission_conversational_layer.ts,425,3,1275,160284,42.976
129,client/systems/autonomy/ops_dashboard.ts,424,3,1272,160708,43.086
130,client/systems/security/key_lifecycle_governor.ts,508,2.5,1270,161216,43.219
131,client/systems/ops/predictive_capacity_forecast.ts,529,2.4,1269.6,161745,43.357
132,client/systems/security/black_box_ledger.ts,505,2.5,1262.5,162250,43.489
133,client/systems/security/post_quantum_migration_lane.ts,505,2.5,1262.5,162755,43.62
134,client/systems/ops/soc2_type2_track.ts,525,2.4,1260,163280,43.757
135,client/systems/ops/v1_hardening_checkpoint.ts,525,2.4,1260,163805,43.894
136,client/systems/autonomy/trit_shadow_replay_calibration.ts,419,3,1257,164224,44.003
137,client/systems/autonomy/persistent_fractal_meta_organ.ts,418,3,1254,164642,44.113
138,client/systems/memory/eyes_memory_bridge.ts,544,2.3,1251.2,165186,44.254
139,client/systems/assimilation/capability_profile_compiler.ts,625,2,1250,165811,44.417
140,client/lib/trit_shadow_control.ts,1040,1.2,1248,166851,44.689
141,client/systems/workflow/client_communication_organ.ts,566,2.2,1245.2,167417,44.836
142,client/systems/ops/backlog_queue_executor.ts,518,2.4,1243.2,167935,44.972
143,client/systems/ops/blank_slate_reset.ts,518,2.4,1243.2,168453,45.107
144,client/systems/ops/self_hosted_bootstrap_compiler.ts,514,2.4,1233.6,168967,45.241
145,client/systems/ops/global_molt_cycle.ts,511,2.4,1226.4,169478,45.374
146,client/systems/ops/rust_spine_microkernel.ts,508,2.4,1219.2,169986,45.507
147,client/systems/autonomy/optimization_aperture_controller.ts,368,3.3,1214.4,170354,45.603
148,client/systems/ops/schema_evolution_contract.ts,505,2.4,1212,170859,45.734
149,client/systems/security/copy_hardening_pack.ts,482,2.5,1205,171341,45.86
150,client/systems/ops/continuous_chaos_resilience.ts,499,2.4,1197.6,171840,45.99
151,client/systems/ops/open_platform_release_pack.ts,497,2.4,1192.8,172337,46.12
152,client/systems/ops/openfang_capability_pack.ts,497,2.4,1192.8,172834,46.25
153,client/systems/workflow/workflow_generator.ts,542,2.2,1192.4,173376,46.391
154,client/systems/autonomy/dream_signal_bridge.ts,397,3,1191,173773,46.494
155,client/systems/autonomy/receipt_dashboard.ts,397,3,1191,174170,46.598
156,client/systems/workflow/gated_account_creation_organ.ts,539,2.2,1185.8,174709,46.739
157,client/systems/ops/model_health_auto_recovery.ts,492,2.4,1180.8,175201,46.867
158,client/systems/ops/platform_socket_runtime.ts,492,2.4,1180.8,175693,46.995
159,client/lib/strategy_resolver.ts,983,1.2,1179.6,176676,47.252
160,client/systems/ops/postmortem_loop.ts,491,2.4,1178.4,177167,47.38
161,client/systems/reflex/reflex_dispatcher.ts,1176,1,1176,178343,47.687
162,client/systems/memory/memory_efficiency_plane.ts,511,2.3,1175.3,178854,47.82
163,client/systems/autonomy/observer_mirror.ts,391,3,1173,179245,47.922
164,client/systems/security/governance_hardening_pack.ts,465,2.5,1162.5,179710,48.043
165,client/systems/security/jigsaw/attackcinema_replay_theater.ts,463,2.5,1157.5,180173,48.164
166,client/systems/ops/event_sourced_control_plane.ts,481,2.4,1154.4,180654,48.29
167,client/systems/ops/dist_runtime_cutover.ts,478,2.4,1147.2,181132,48.414
168,client/systems/workflow/rate_limit_intelligence.ts,520,2.2,1144,181652,48.55
169,client/lib/duality_seed.ts,952,1.2,1142.4,182604,48.798
170,client/systems/ops/deployment_packaging.ts,471,2.4,1130.4,183075,48.921
171,client/systems/ops/backup_integrity_check.ts,470,2.4,1128,183545,49.044
172,client/systems/ops/protheus_setup_wizard.ts,468,2.4,1123.2,184013,49.166
173,client/systems/autonomy/pipeline_spc_gate.ts,373,3,1119,184386,49.263
174,client/systems/security/critical_path_formal_verifier.ts,446,2.5,1115,184832,49.379
175,client/systems/ops/type_derived_lane_docs_autogen.ts,463,2.4,1111.2,185295,49.5
176,client/systems/autonomy/inversion_readiness_cert.ts,369,3,1107,185664,49.596
177,client/systems/spine/spine_safe_launcher.ts,394,2.8,1103.2,186058,49.699
178,client/systems/ops/operational_maturity_closure.ts,459,2.4,1101.6,186517,49.819
179,client/systems/ops/protheus_prime_seed.ts,458,2.4,1099.2,186975,49.938
180,client/systems/security/safety_resilience_guard.ts,439,2.5,1097.5,187414,50.053
181,client/systems/echo/heroic_echo_controller.ts,842,1.3,1094.6,188256,50.273
182,client/systems/autonomy/suggestion_lane.ts,364,3,1092,188620,50.368
183,client/systems/storm/storm_value_distribution.ts,1091,1,1091,189711,50.652
184,client/systems/workflow/high_value_play_detector.ts,493,2.2,1084.6,190204,50.781
185,client/systems/identity/identity_anchor.ts,1073,1,1073,191277,51.061
186,client/systems/ops/environment_promotion_gate.ts,447,2.4,1072.8,191724,51.177
187,client/systems/autonomy/mutation_safety_kernel.ts,354,3,1062,192078,51.27
188,client/systems/autonomy/non_yield_ledger_backfill.ts,353,3,1059,192431,51.362
189,client/systems/autonomy/non_yield_replay.ts,353,3,1059,192784,51.454
190,client/systems/ops/docs_structure_pack.ts,441,2.4,1058.4,193225,51.569
191,client/systems/ops/explain_decision.ts,441,2.4,1058.4,193666,51.684
192,client/systems/ops/system_health_audit_runner.ts,441,2.4,1058.4,194107,51.799
193,client/systems/security/execution_sandbox_envelope.ts,417,2.5,1042.5,194524,51.908
194,client/systems/sensory/temporal_patterns.ts,518,2,1036,195042,52.043
195,client/systems/primitives/explanation_primitive.ts,647,1.6,1035.2,195689,52.212
196,client/systems/ops/backlog_execution_pathfinder.ts,431,2.4,1034.4,196120,52.324
197,client/systems/helix/helix_controller.ts,794,1.3,1032.2,196914,52.531
198,client/systems/ops/alert_transport_health.ts,430,2.4,1032,197344,52.643
199,client/systems/memory/rust_memory_daemon_supervisor.ts,448,2.3,1030.4,197792,52.76
200,client/systems/ops/config_registry.ts,428,2.4,1027.2,198220,52.872
201,client/systems/actuation/real_world_claws_bundle.ts,539,1.9,1024.1,198759,53.012
202,client/systems/autonomy/genuine_creative_breakthrough_organ.ts,341,3,1023,199100,53.101
203,client/systems/ops/compliance_posture.ts,422,2.4,1012.8,199522,53.212
204,client/systems/memory/uid_connections.ts,440,2.3,1012,199962,53.326
205,client/systems/dual_brain/coordinator.ts,1010,1,1010,200972,53.59
206,client/systems/ops/config_plane_pilot.ts,417,2.4,1000.8,201389,53.699
